id_bureau,% Abs/Ins,Nom,% Voix/Ins,% Voix/Exp,Nom.1,% Voix/Ins.1,% Voix/Exp.1
01001_0001,22.71,MACRON,36.86,52.67,LE PEN,33.13,47.33
01002_0001,21.13,MACRON,44.13,66.2,LE PEN,22.54,33.8
01004_0001,28.5,MACRON,31.86,50.35,LE PEN,31.42,49.65
01004_0002,27.72,MACRON,37.73,56.57,LE PEN,28.96,43.43
01004_0003,24.98,MACRON,37.02,55.99,LE PEN,29.1,44.01
01004_0004,28.97,MACRON,33.58,53.41,LE PEN,29.29,46.59
01004_0005,36.9,MACRON,29.25,51.86,LE PEN,27.15,48.14
01004_0006,27.65,MACRON,36.87,56.46,LE PEN,28.43,43.54
01004_0007,27.66,MACRON,36.07,54.45,LE PEN,30.17,45.55
01004_0008,22.14,MACRON,38.0,53.16,LE PEN,33.48,46.84
01005_0001,20.75,MACRON,35.18,47.27,LE PEN,39.24,52.73
01006_0001,18.45,MACRON,43.69,62.5,LE PEN,26.21,37.5
01007_0001,21.4,MACRON,38.77,53.71,LE PEN,33.42,46.29
01007_0002,19.39,MACRON,31.73,42.62,LE PEN,42.71,57.38
01008_0001,18.12,MACRON,35.87,48.29,LE PEN,38.41,51.71
01009_0001,26.07,MACRON,36.43,56.04,LE PEN,28.57,43.96
01010_0001,23.36,MACRON,28.66,39.96,LE PEN,43.06,60.04
01011_0001,14.53,MACRON,34.95,47.2,LE PEN,39.1,52.8
01012_0001,26.86,MACRON,32.51,53.18,LE PEN,28.62,46.82
01013_0001,16.13,MACRON,23.39,33.72,LE PEN,45.97,66.28
01014_0001,33.48,MACRON,39.66,63.78,LE PEN,22.53,36.22
01014_0002,26.89,MACRON,39.22,57.78,LE PEN,28.66,42.22
01015_0001,21.82,MACRON,42.5,58.99,LE PEN,29.55,41.01
01015_0002,18.85,MACRON,39.34,58.54,LE PEN,27.87,41.46
01016_0001,18.1,MACRON,34.36,44.8,LE PEN,42.33,55.2
01017_0001,24.35,MACRON,23.38,34.12,LE PEN,45.13,65.88
01019_0001,12.5,MACRON,40.0,50.0,LE PEN,40.0,50.0
01021_0001,20.88,MACRON,38.3,52.56,LE PEN,34.58,47.44
01022_0001,24.49,MACRON,26.66,39.03,LE PEN,41.65,60.97
01023_0001,11.67,MACRON,25.0,30.61,LE PEN,56.67,69.39
01024_0001,18.97,MACRON,40.76,53.95,LE PEN,34.8,46.05
01024_0002,20.61,MACRON,39.78,53.97,LE PEN,33.92,46.03
01025_0001,20.96,MACRON,35.93,49.02,LE PEN,37.36,50.98
01025_0002,22.35,MACRON,38.41,53.7,LE PEN,33.11,46.3
